,Tweets
0,اپنےہیروزکوخراج عقیدت پیش کرتےہوئےآج 1965 کی یادیں میرےذہن میں تازہ ہیں کہ میں اس وقت 13 برس کا تھا۔وہ یگانگت نہیں بھلائی جاسکتی جب قوم یکجا ہوکر دشمن سےنبرد آزما ہوئی۔ باہم اتفاق سے رخ متعین کرنےوالی قوم کوکوئی دشمن شکست نہیں دےسکتا۔جناح کاپاکستان بنانےکیلئےآج یہی جذبہ درکار ہے۔
1,"As we pay homage to our war heroes today, I still recall, as a 13 yr old, the 1965 war vividly. Can never forget the unity when nation stood resolutely as one against the enemy. No enemy can defeat a nation so united in purpose. It's this spirit we need today to make Jinnah's Pak"
2,میں نے وزارت داخلہ کو جسمانی اذیت کیخلاف ہمارےمسودہ قانون کوقومی اسمبلی میں پیش کرنےکاعمل تیزبنانےکی ہدایات دی ہیں۔ کسی بھی مہذب جمہوری معاشرے میں جسمانی اذیت کی قطعاً کوئی گنجائش نہیں۔ یہ اسلام کی روح سےمتصادم، آئینِ پاکستان اور ان عالمی قانونی معاہدوں کیخلاف ہےجس کا ہم حصہ ہیں۔
3,"I have asked Interior Ministry to expedite tabling our anti torture bill in National Assembly. Torture is unacceptable in a civilised democratic society &amp; goes against the spirit of Islam, our constitution &amp; our international legal commitments."
4,انسانی بنیادوں پر غور کیلئے میں نے غیر ملکی اور سزائے موت کی منتظر خواتین قیدیوں کی تفصیلات بھی فوری طلب کی ہیں۔
5,میں نے وزارتِ انسانی حقوق، اٹارنی جنرل اور بیرسٹر علی ظفر سے ملاقات کے بعد سپریم کورٹ کے حکمنامے میں وضع کردہ معیار پر پورا اترنےوالی زیرِ سماعت مقدمات میں نامزد اور سزایافتہ خواتین قیدیوں کی فوری رہائی کیلئے عدالت عظمیٰ کے حکمنامے 299/2020 پر فوری عملدرآمد کی ہدایات دے دی ہیں۔
6,I have also asked for immediate reports on foreign women prisoners &amp; women on death row for humanitarian consideration.
7,"After a mtg with @mohrpakistan, Attorney General &amp; Barrister Ali Zafar, I have asked for immediate implementation of SC order 299/2020 for release of Under Trial women prisoners &amp; convicted women prisoners who fulfill criteria of SC Order."
8,یومِ عاشور کے موقع پر ملک میں امن و احترام ملحوظِ خاطر رکھنےپر میں اپنی پوری قوم کا مشکور ہوں۔ تاہم بدقسمتی سے اس دوران ایسے فتنہ گر عناصر کی شرانگیزیاں میرےعلم میں لائی گئیں جنہوں نےاس موقع پر فرقہ واریت کی آگ بھڑکانےکی کوشش کی۔ شرپسندوں کےاس گروہ سےاب میں نہایت سختی سےنمٹوں گا۔
9,"I want to thank our nation for the peaceful observing of Ashura in the country. However,  unfortunately,  information has come to me of elements who tried to ignite flames of sectarianism on this occasion and I will be taking very tough action against them."
